GAME_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OREB,AST,TOV,HOME_AWAY,OPPONENT_ABBREVIATION,PREV_GAME,REST_DAYS_NUM,REST_DAYS,OPP_REST_DAYS,OPP_REST_DAYS_NUM,REST_MATCHUP,REST_DAYS_NUM_CAT,OPP_REST_DAYS_NUM_CAT,REST_ADVANTAGE,REST_COMPARISON_GROUP,BACK_TO_BACK,B2B_VS_RESTED_OPP
0022400079,ATL,Atlanta Hawks,2024-10-25,ATL vs. CHA,1,125,0.481,0.368,0.868,5,7,25,14,1,CHA,2024-10-23,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400100,ATL,Atlanta Hawks,2024-10-27,ATL @ OKC,0,104,0.396,0.323,0.759,-24,17,24,20,0,OKC,2024-10-25,1.0,1,0,0.0,1 vs 0,1,0,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400103,ATL,Atlanta Hawks,2024-10-28,ATL vs. WAS,0,119,0.481,0.375,0.722,-2,6,32,16,1,WAS,2024-10-27,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400121,ATL,Atlanta Hawks,2024-10-30,ATL @ WAS,0,120,0.474,0.308,0.857,-13,12,28,17,0,WAS,2024-10-28,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400135,ATL,Atlanta Hawks,2024-11-01,ATL vs. SAC,0,115,0.446,0.38,0.778,-8,8,30,13,1,SAC,2024-10-30,1.0,1,2+,2.0,1 vs 2+,1,2,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400152,ATL,Atlanta Hawks,2024-11-03,ATL @ NOP,1,126,0.568,0.417,0.917,15,10,29,16,0,NOP,2024-11-01,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400157,ATL,Atlanta Hawks,2024-11-04,ATL vs. BOS,0,93,0.416,0.194,0.813,-30,8,23,20,1,BOS,2024-11-03,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400171,ATL,Atlanta Hawks,2024-11-06,ATL vs. NYK,1,121,0.45,0.395,0.727,5,16,31,8,1,NYK,2024-11-04,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400185,ATL,Atlanta Hawks,2024-11-08,ATL @ DET,0,121,0.454,0.417,0.783,-1,15,30,18,0,DET,2024-11-06,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400198,ATL,Atlanta Hawks,2024-11-09,ATL vs. CHI,0,113,0.461,0.31,0.733,-12,10,31,14,1,CHI,2024-11-08,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400001,ATL,Atlanta Hawks,2024-11-12,ATL @ BOS,1,117,0.505,0.313,0.538,1,19,35,16,0,BOS,2024-11-09,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400012,ATL,Atlanta Hawks,2024-11-15,ATL vs. WAS,1,129,0.469,0.324,0.833,12,15,28,16,1,WAS,2024-11-12,2.0,2+,1,1.0,2+ vs 1,2,1,1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400239,ATL,Atlanta Hawks,2024-11-17,ATL @ POR,0,110,0.459,0.344,0.84,-4,16,30,27,0,POR,2024-11-15,1.0,1,2+,3.0,1 vs 2+,1,2,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
0022400250,ATL,Atlanta Hawks,2024-11-18,ATL @ SAC,1,109,0.47,0.421,0.833,1,6,34,14,0,SAC,2024-11-17,0.0,0,1,1.0,0 vs 1,0,1,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),1,1
0022400258,ATL,Atlanta Hawks,2024-11-20,ATL @ GSW,0,97,0.333,0.267,0.625,-23,21,27,17,0,GSW,2024-11-18,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400030,ATL,Atlanta Hawks,2024-11-22,ATL @ CHI,0,122,0.458,0.294,0.737,-14,14,32,11,0,CHI,2024-11-20,1.0,1,1,1.0,1 vs 1,1,1,0,Descanso igual,0,0
0022400280,ATL,Atlanta Hawks,2024-11-25,ATL vs. DAL,0,119,0.475,0.29,0.875,-10,9,32,14,1,DAL,2024-11-22,2.0,2+,0,0.0,2+ vs 0,2,0,2,2+ dias de diferença (0 vs 2+),0,0
0022400287,ATL,Atlanta Hawks,2024-11-27,ATL @ CLE,1,135,0.474,0.476,0.92,11,14,39,15,0,CLE,2024-11-25,1.0,1,2+,2.0,1 vs 2+,1,2,-1,1 dia de diferença (0 vs 1 / 1 vs 2+),0,0
