TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,OREB,AST,TOV,HOME_AWAY,PREV_GAME,REST_DAYS,BACK_TO_BACK
ATL,Atlanta Hawks,2024-10-25,ATL vs. CHA,W,125,0.481,0.368,0.868,5,7,25,14,1,2024-10-23,1,0
ATL,Atlanta Hawks,2024-10-27,ATL @ OKC,L,104,0.396,0.323,0.759,-24,17,24,20,0,2024-10-25,1,0
ATL,Atlanta Hawks,2024-10-28,ATL vs. WAS,L,119,0.481,0.375,0.722,-2,6,32,16,1,2024-10-27,0,1
ATL,Atlanta Hawks,2024-10-30,ATL @ WAS,L,120,0.474,0.308,0.857,-13,12,28,17,0,2024-10-28,1,0
ATL,Atlanta Hawks,2024-11-01,ATL vs. SAC,L,115,0.446,0.38,0.778,-8,8,30,13,1,2024-10-30,1,0
ATL,Atlanta Hawks,2024-11-03,ATL @ NOP,W,126,0.568,0.417,0.917,15,10,29,16,0,2024-11-01,1,0
ATL,Atlanta Hawks,2024-11-04,ATL vs. BOS,L,93,0.416,0.194,0.813,-30,8,23,20,1,2024-11-03,0,1
ATL,Atlanta Hawks,2024-11-06,ATL vs. NYK,W,121,0.45,0.395,0.727,5,16,31,8,1,2024-11-04,1,0
ATL,Atlanta Hawks,2024-11-08,ATL @ DET,L,121,0.454,0.417,0.783,-1,15,30,18,0,2024-11-06,1,0
ATL,Atlanta Hawks,2024-11-09,ATL vs. CHI,L,113,0.461,0.31,0.733,-12,10,31,14,1,2024-11-08,0,1
ATL,Atlanta Hawks,2024-11-12,ATL @ BOS,W,117,0.505,0.313,0.538,1,19,35,16,0,2024-11-09,2,0
ATL,Atlanta Hawks,2024-11-15,ATL vs. WAS,W,129,0.469,0.324,0.833,12,15,28,16,1,2024-11-12,2,0
ATL,Atlanta Hawks,2024-11-17,ATL @ POR,L,110,0.459,0.344,0.84,-4,16,30,27,0,2024-11-15,1,0
ATL,Atlanta Hawks,2024-11-18,ATL @ SAC,W,109,0.47,0.421,0.833,1,6,34,14,0,2024-11-17,0,1
ATL,Atlanta Hawks,2024-11-20,ATL @ GSW,L,97,0.333,0.267,0.625,-23,21,27,17,0,2024-11-18,1,0
ATL,Atlanta Hawks,2024-11-22,ATL @ CHI,L,122,0.458,0.294,0.737,-14,14,32,11,0,2024-11-20,1,0
ATL,Atlanta Hawks,2024-11-25,ATL vs. DAL,L,119,0.475,0.29,0.875,-10,9,32,14,1,2024-11-22,2,0
ATL,Atlanta Hawks,2024-11-27,ATL @ CLE,W,135,0.474,0.476,0.92,11,14,39,15,0,2024-11-25,1,0
ATL,Atlanta Hawks,2024-11-29,ATL vs. CLE,W,117,0.518,0.412,0.833,16,10,33,21,1,2024-11-27,1,0
ATL,Atlanta Hawks,2024-11-30,ATL @ CHA,W,107,0.487,0.303,0.778,3,14,27,22,0,2024-11-29,0,1
ATL,Atlanta Hawks,2024-12-02,ATL vs. NOP,W,124,0.51,0.263,0.8,12,11,30,18,1,2024-11-30,1,0
ATL,Atlanta Hawks,2024-12-04,ATL @ MIL,W,119,0.441,0.281,0.909,15,15,29,14,0,2024-12-02,1,0
ATL,Atlanta Hawks,2024-12-06,ATL vs. LAL,W,134,0.5,0.425,0.773,2,11,40,17,1,2024-12-04,1,0
ATL,Atlanta Hawks,2024-12-08,ATL vs. DEN,L,111,0.406,0.225,0.741,-30,19,26,12,1,2024-12-06,1,0
ATL,Atlanta Hawks,2024-12-11,ATL @ NYK,W,108,0.413,0.29,0.65,8,22,27,11,0,2024-12-08,2,0
ATL,Atlanta Hawks,2024-12-14,ATL @ MIL,L,102,0.427,0.417,0.647,-8,7,23,13,0,2024-12-11,2,0
ATL,Atlanta Hawks,2024-12-19,ATL @ SAS,L,126,0.474,0.421,0.857,-7,12,32,23,0,2024-12-14,4+,0
ATL,Atlanta Hawks,2024-12-21,ATL vs. MEM,L,112,0.488,0.368,0.833,-16,6,29,25,1,2024-12-19,1,0
ATL,Atlanta Hawks,2024-12-23,ATL vs. MIN,W,117,0.534,0.5,0.808,13,6,27,23,1,2024-12-21,1,0
ATL,Atlanta Hawks,2024-12-26,ATL vs. CHI,W,141,0.517,0.378,0.941,8,12,32,14,1,2024-12-23,2,0
ATL,Atlanta Hawks,2024-12-28,ATL vs. MIA,W,120,0.512,0.405,0.773,10,9,34,13,1,2024-12-26,1,0
ATL,Atlanta Hawks,2024-12-29,ATL @ TOR,W,136,0.484,0.4,0.743,29,14,30,15,0,2024-12-28,0,1
ATL,Atlanta Hawks,2025-01-01,ATL @ DEN,L,120,0.45,0.348,0.667,-19,12,34,14,0,2024-12-29,2,0
ATL,Atlanta Hawks,2025-01-03,ATL @ LAL,L,102,0.41,0.176,0.778,-17,13,22,8,0,2025-01-01,1,0
ATL,Atlanta Hawks,2025-01-04,ATL @ LAC,L,105,0.432,0.348,0.765,-26,8,30,23,0,2025-01-03,0,1
ATL,Atlanta Hawks,2025-01-07,ATL @ UTA,W,124,0.48,0.409,0.8,3,12,35,10,0,2025-01-04,2,0
ATL,Atlanta Hawks,2025-01-09,ATL @ PHX,L,115,0.488,0.469,0.941,-8,8,32,11,0,2025-01-07,1,0
ATL,Atlanta Hawks,2025-01-14,ATL vs. PHX,W,122,0.439,0.415,0.731,5,20,22,14,1,2025-01-09,4+,0
ATL,Atlanta Hawks,2025-01-15,ATL @ CHI,W,110,0.41,0.302,0.682,16,14,28,11,0,2025-01-14,0,1
ATL,Atlanta Hawks,2025-01-18,ATL @ BOS,W,119,0.473,0.243,0.786,4,13,27,18,0,2025-01-15,2,0
ATL,Atlanta Hawks,2025-01-20,ATL @ NYK,L,110,0.471,0.433,0.773,-9,16,23,24,0,2025-01-18,1,0
ATL,Atlanta Hawks,2025-01-22,ATL vs. DET,L,104,0.379,0.158,0.769,-10,15,25,14,1,2025-01-20,1,0
ATL,Atlanta Hawks,2025-01-23,ATL vs. TOR,L,119,0.483,0.351,0.733,-3,9,30,15,1,2025-01-22,0,1
ATL,Atlanta Hawks,2025-01-25,ATL vs. TOR,L,94,0.393,0.297,0.68,-23,8,28,24,1,2025-01-23,1,0
ATL,Atlanta Hawks,2025-01-27,ATL @ MIN,L,92,0.395,0.279,0.667,-8,14,24,22,0,2025-01-25,1,0
ATL,Atlanta Hawks,2025-01-28,ATL vs. HOU,L,96,0.404,0.234,0.813,-4,9,19,18,1,2025-01-27,0,1
ATL,Atlanta Hawks,2025-01-30,ATL @ CLE,L,115,0.456,0.333,0.741,-22,10,28,11,0,2025-01-28,1,0
ATL,Atlanta Hawks,2025-02-01,ATL @ IND,L,127,0.5,0.378,0.719,-5,11,31,13,0,2025-01-30,1,0
ATL,Atlanta Hawks,2025-02-03,ATL @ DET,W,132,0.519,0.432,0.821,2,5,27,14,0,2025-02-01,1,0
ATL,Atlanta Hawks,2025-02-05,ATL vs. SAS,L,125,0.527,0.381,0.722,-1,8,33,20,1,2025-02-03,1,0
ATL,Atlanta Hawks,2025-02-07,ATL vs. MIL,W,115,0.489,0.361,0.667,5,11,29,11,1,2025-02-05,1,0
ATL,Atlanta Hawks,2025-02-08,ATL @ WAS,W,125,0.485,0.409,0.765,14,8,36,12,0,2025-02-07,0,1
ATL,Atlanta Hawks,2025-02-10,ATL @ ORL,W,112,0.494,0.375,0.857,6,6,29,17,0,2025-02-08,1,0
ATL,Atlanta Hawks,2025-02-12,ATL @ NYK,L,148,0.5,0.368,0.686,-1,19,43,14,0,2025-02-10,1,0
ATL,Atlanta Hawks,2025-02-20,ATL vs. ORL,L,108,0.39,0.314,0.679,-6,16,20,9,1,2025-02-12,4+,0
ATL,Atlanta Hawks,2025-02-23,ATL vs. DET,L,143,0.5,0.467,0.722,-5,10,30,13,1,2025-02-20,2,0
ATL,Atlanta Hawks,2025-02-24,ATL vs. MIA,W,98,0.455,0.257,0.75,12,13,29,18,1,2025-02-23,0,1
ATL,Atlanta Hawks,2025-02-26,ATL @ MIA,L,109,0.506,0.375,0.789,-22,9,29,17,0,2025-02-24,1,0
ATL,Atlanta Hawks,2025-02-28,ATL vs. OKC,L,119,0.489,0.417,0.783,-16,10,27,19,1,2025-02-26,1,0
ATL,Atlanta Hawks,2025-03-03,ATL @ MEM,W,132,0.573,0.464,0.529,2,14,35,12,0,2025-02-28,2,0
ATL,Atlanta Hawks,2025-03-04,ATL vs. MIL,L,121,0.455,0.39,0.765,-6,11,33,12,1,2025-03-03,0,1
ATL,Atlanta Hawks,2025-03-06,ATL vs. IND,W,124,0.532,0.333,0.778,6,11,32,9,1,2025-03-04,1,0
ATL,Atlanta Hawks,2025-03-08,ATL vs. IND,W,120,0.464,0.294,0.952,2,16,23,17,1,2025-03-06,1,0
ATL,Atlanta Hawks,2025-03-10,ATL vs. PHI,W,132,0.541,0.405,0.786,9,14,34,15,1,2025-03-08,1,0
ATL,Atlanta Hawks,2025-03-12,ATL vs. CHA,W,123,0.42,0.389,0.897,13,13,26,14,1,2025-03-10,1,0
ATL,Atlanta Hawks,2025-03-14,ATL vs. LAC,L,98,0.42,0.273,0.882,-23,13,25,18,1,2025-03-12,1,0
ATL,Atlanta Hawks,2025-03-16,ATL @ BKN,L,114,0.467,0.297,0.792,-8,10,27,14,0,2025-03-14,1,0
ATL,Atlanta Hawks,2025-03-18,ATL @ CHA,W,134,0.538,0.489,0.8,32,11,27,11,0,2025-03-16,1,0
ATL,Atlanta Hawks,2025-03-22,ATL vs. GSW,W,124,0.57,0.417,0.611,9,10,37,16,1,2025-03-18,3,0
ATL,Atlanta Hawks,2025-03-23,ATL vs. PHI,W,132,0.552,0.459,0.864,13,10,35,17,1,2025-03-22,0,1
ATL,Atlanta Hawks,2025-03-25,ATL @ HOU,L,114,0.417,0.306,0.867,-7,18,32,14,0,2025-03-23,1,0
ATL,Atlanta Hawks,2025-03-27,ATL @ MIA,L,112,0.518,0.439,0.727,-10,6,27,16,0,2025-03-25,1,0
ATL,Atlanta Hawks,2025-03-30,ATL @ MIL,W,145,0.532,0.354,0.8,21,15,36,9,0,2025-03-27,2,0
ATL,Atlanta Hawks,2025-04-01,ATL vs. POR,L,113,0.446,0.219,0.857,-14,12,26,20,1,2025-03-30,1,0
ATL,Atlanta Hawks,2025-04-02,ATL @ DAL,L,118,0.433,0.385,0.864,-2,12,29,11,0,2025-04-01,0,1
ATL,Atlanta Hawks,2025-04-05,ATL vs. NYK,L,105,0.466,0.311,0.75,-16,9,24,15,1,2025-04-02,2,0
ATL,Atlanta Hawks,2025-04-06,ATL vs. UTA,W,147,0.568,0.537,0.85,13,11,43,12,1,2025-04-05,0,1
ATL,Atlanta Hawks,2025-04-08,ATL @ ORL,L,112,0.455,0.341,0.818,-7,14,25,18,0,2025-04-06,1,0
ATL,Atlanta Hawks,2025-04-10,ATL @ BKN,W,133,0.571,0.417,0.667,24,7,36,15,0,2025-04-08,1,0
ATL,Atlanta Hawks,2025-04-11,ATL @ PHI,W,124,0.479,0.381,0.75,14,18,28,15,0,2025-04-10,0,1
ATL,Atlanta Hawks,2025-04-13,ATL vs. ORL,W,117,0.534,0.425,0.6,12,9,32,16,1,2025-04-11,1,0
